,year,country,word,frequency,count,freq_prop_headlines,word_len
67110,2016,India,ask,128.0,28024,0.004567513559805881,3
67111,2017,India,ask,178.0,34194,0.005205591624261567,3
67112,2018,India,ask,182.0,38340,0.004747000521648409,3
67113,2019,India,ask,212.0,41698,0.00508417669912226,3
67114,2020,India,ask,0.0,674,0.0,3
67115,2021,India,ask,1.0,3188,0.0003136762860727729,3
68255,2005,India,assault,1.0,172,0.005813953488372093,7
68256,2006,India,assault,1.0,204,0.004901960784313725,7
68257,2007,India,assault,0.0,496,0.0,7
68258,2008,India,assault,1.0,1368,0.0007309941520467836,7
68259,2009,India,assault,6.0,2356,0.0025466893039049238,7
68260,2010,India,assault,3.0,3168,0.000946969696969697,7
68261,2011,India,assault,8.0,4876,0.0016406890894175555,7
68262,2012,India,assault,9.0,7268,0.0012383048981838194,7
68263,2013,India,assault,23.0,9820,0.0023421588594704683,7
68264,2014,India,assault,29.0,15004,0.0019328179152226072,7
68265,2015,India,assault,48.0,21064,0.002278769464489176,7
68266,2016,India,assault,81.0,28024,0.0028903796745646587,7
68267,2017,India,assault,125.0,34194,0.0036556120956893023,7
68268,2018,India,assault,173.0,38340,0.00451225873761085,7
68269,2019,India,assault,139.0,41698,0.003333493213103746,7
68270,2020,India,assault,0.0,674,0.0,7
68271,2021,India,assault,1.0,3188,0.0003136762860727729,7
71519,2005,India,attack,0.0,258,0.0,6
71520,2006,India,attack,0.0,306,0.0,6
71521,2007,India,attack,2.0,744,0.002688172043010753,6
71522,2008,India,attack,5.0,2052,0.0024366471734892786,6
71523,2009,India,attack,12.0,3534,0.003395585738539898,6
71524,2010,India,attack,14.0,4752,0.002946127946127946,6
71525,2011,India,attack,22.0,7314,0.0030079299972655183,6
71526,2012,India,attack,22.0,10902,0.002017978352595854,6
71527,2013,India,attack,51.0,14730,0.0034623217922606924,6
71528,2014,India,attack,56.0,22506,0.0024882253621256556,6
71529,2015,India,attack,63.0,31596,0.0019939232814280288,6
71530,2016,India,attack,153.0,42036,0.003639737367970311,6
71531,2017,India,attack,143.0,51291,0.002788013491645708,6
71532,2018,India,attack,190.0,57510,0.0033037732568249,6
71533,2019,India,attack,228.0,62547,0.003645258765408413,6
71534,2020,India,attack,0.0,1011,0.0,6
71535,2021,India,attack,1.0,4782,0.00020911752404851526,6
76840,2005,India,award,1.0,172,0.005813953488372093,5
76841,2006,India,award,0.0,204,0.0,5
76842,2007,India,award,0.0,496,0.0,5
76843,2008,India,award,1.0,1368,0.0007309941520467836,5
76844,2009,India,award,4.0,2356,0.001697792869269949,5
76845,2010,India,award,6.0,3168,0.001893939393939394,5
76846,2011,India,award,12.0,4876,0.002461033634126333,5
76847,2012,India,award,9.0,7268,0.0012383048981838194,5
76848,2013,India,award,22.0,9820,0.002240325865580448,5
76849,2014,India,award,30.0,15004,0.0019994668088509733,5
76850,2015,India,award,67.0,21064,0.0031807823775161412,5
76851,2016,India,award,54.0,28024,0.0019269197830431059,5
76852,2017,India,award,82.0,34194,0.002398081534772182,5
76853,2018,India,award,87.0,38340,0.002269170579029734,5
76854,2019,India,award,120.0,41698,0.0028778358674276944,5
76855,2020,India,award,0.0,674,0.0,5
76856,2021,India,award,1.0,3188,0.0003136762860727729,5
81294,2005,India,baby,0.0,258,0.0,4
81295,2006,India,baby,1.0,306,0.0032679738562091504,4
81296,2007,India,baby,5.0,744,0.006720430107526882,4
81297,2008,India,baby,24.0,2052,0.011695906432748537,4
81298,2009,India,baby,53.0,3534,0.014997170345217883,4
81299,2010,India,baby,50.0,4752,0.010521885521885523,4
81300,2011,India,baby,54.0,7314,0.007383100902378999,4
81301,2012,India,baby,60.0,10902,0.00550357732526142,4
81302,2013,India,baby,82.0,14730,0.005566870332654446,4
81303,2014,India,baby,111.0,22506,0.004932018128499067,4
81304,2015,India,baby,183.0,31596,0.005791872388909988,4
81305,2016,India,baby,244.0,42036,0.005804548482253306,4
81306,2017,India,baby,296.0,51291,0.005770992961728179,4
81307,2018,India,baby,305.0,57510,0.0053034254912189185,4
81308,2019,India,baby,299.0,62547,0.004780405135338226,4
81309,2020,India,baby,0.0,1011,0.0,4
81310,2021,India,baby,0.0,4782,0.0,4
83079,2005,India,bad,0.0,172,0.0,3
83080,2006,India,bad,2.0,204,0.00980392156862745,3
83081,2007,India,bad,2.0,496,0.004032258064516129,3
83082,2008,India,bad,3.0,1368,0.0021929824561403508,3
83083,2009,India,bad,8.0,2356,0.003395585738539898,3
83084,2010,India,bad,8.0,3168,0.0025252525252525255,3
83085,2011,India,bad,20.0,4876,0.004101722723543888,3
83086,2012,India,bad,18.0,7268,0.0024766097963676388,3
83087,2013,India,bad,31.0,9820,0.003156822810590631,3
83088,2014,India,bad,26.0,15004,0.00173287123433751,3
83089,2015,India,bad,62.0,21064,0.002943410558298519,3
83090,2016,India,bad,64.0,28024,0.0022837567799029405,3
83091,2017,India,bad,58.0,34194,0.0016962040123998361,3
83092,2018,India,bad,55.0,38340,0.0014345331246739697,3
83093,2019,India,bad,55.0,41698,0.00131900810590436,3
83094,2020,India,bad,0.0,674,0.0,3
83095,2021,India,bad,0.0,3188,0.0,3
99263,2005,India,bear,0.0,172,0.0,4
99264,2006,India,bear,1.0,204,0.004901960784313725,4
99265,2007,India,bear,3.0,496,0.006048387096774193,4
99266,2008,India,bear,7.0,1368,0.005116959064327485,4
99267,2009,India,bear,13.0,2356,0.0055178268251273345,4
99268,2010,India,bear,6.0,3168,0.001893939393939394,4
99269,2011,India,bear,15.0,4876,0.0030762920426579163,4
99270,2012,India,bear,22.0,7268,0.003026967528893781,4
99271,2013,India,bear,20.0,9820,0.002036659877800407,4
99272,2014,India,bear,31.0,15004,0.002066115702479339,4
99273,2015,India,bear,44.0,21064,0.002088872009115078,4
99274,2016,India,bear,69.0,28024,0.0024621752783328577,4
99275,2017,India,bear,59.0,34194,0.0017254489091653507,4
99276,2018,India,bear,91.0,38340,0.0023735002608242044,4
99277,2019,India,bear,72.0,41698,0.0017267015204566166,4
99278,2020,India,bear,0.0,674,0.0,4
99279,2021,India,bear,0.0,3188,0.0,4
99569,2005,India,beat,0.0,172,0.0,4
99570,2006,India,beat,0.0,204,0.0,4
99571,2007,India,beat,0.0,496,0.0,4
99572,2008,India,beat,5.0,1368,0.003654970760233918,4
99573,2009,India,beat,7.0,2356,0.0029711375212224107,4
99574,2010,India,beat,6.0,3168,0.001893939393939394,4
99575,2011,India,beat,18.0,4876,0.0036915504511894994,4
99576,2012,India,beat,22.0,7268,0.003026967528893781,4
99577,2013,India,beat,25.0,9820,0.0025458248472505093,4
99578,2014,India,beat,41.0,15004,0.0027326046387629965,4
99579,2015,India,beat,59.0,21064,0.0028009874667679455,4
99580,2016,India,beat,87.0,28024,0.0031044818726805594,4
99581,2017,India,beat,104.0,34194,0.0030414692636134993,4
99582,2018,India,beat,139.0,38340,0.003625456442357851,4
99583,2019,India,beat,148.0,41698,0.003549330903160823,4
99584,2020,India,beat,0.0,674,0.0,4
99585,2021,India,beat,0.0,3188,0.0,4
115753,2005,India,big,1.0,172,0.005813953488372093,3
115754,2006,India,big,0.0,204,0.0,3
115755,2007,India,big,2.0,496,0.004032258064516129,3
115756,2008,India,big,6.0,1368,0.0043859649122807015,3
115757,2009,India,big,15.0,2356,0.006366723259762309,3
115758,2010,India,big,9.0,3168,0.002840909090909091,3
115759,2011,India,big,16.0,4876,0.003281378178835111,3
115760,2012,India,big,25.0,7268,0.0034397358282883873,3
115761,2013,India,big,32.0,9820,0.003258655804480652,3
115762,2014,India,big,51.0,15004,0.003399093575046654,3
115763,2015,India,big,65.0,21064,0.003085833649829092,3
115764,2016,India,big,102.0,28024,0.003639737367970311,3
115765,2017,India,big,113.0,34194,0.0033046733345031293,3
115766,2018,India,big,119.0,38340,0.0031038080333854984,3
115767,2019,India,big,146.0,41698,0.0035013669720370282,3
115768,2020,India,big,1.0,674,0.001483679525222552,3
115769,2021,India,big,1.0,3188,0.0003136762860727729,3
119374,2005,India,birth,0.0,172,0.0,5
119375,2006,India,birth,0.0,204,0.0,5
119376,2007,India,birth,5.0,496,0.010080645161290322,5
119377,2008,India,birth,9.0,1368,0.006578947368421052,5
119378,2009,India,birth,19.0,2356,0.008064516129032258,5
119379,2010,India,birth,19.0,3168,0.005997474747474747,5
119380,2011,India,birth,18.0,4876,0.0036915504511894994,5
119381,2012,India,birth,22.0,7268,0.003026967528893781,5
119382,2013,India,birth,36.0,9820,0.0036659877800407333,5
119383,2014,India,birth,52.0,15004,0.00346574246867502,5
119384,2015,India,birth,70.0,21064,0.0033232054690467147,5
